team,timestamp,location,address,posters_to_expend
1,00:00,DEPOT,"Penn Station, New York, NY",0
1,00:06,CUNY School of Professional Studies | CUNY SPS,"119 W 31st St, New York, NY 10001, USA",3
1,00:25,Mulberry Street Library,"10 Jersey St, New York, NY 10012, USA",5
1,00:35,StudentLink Center,"383 Lafayette St, New York, NY 10003, USA",4
1,00:46,Coffee Project New York | East Village,"239 E 5th St, New York, NY 10003, USA",5
1,01:03,Elmer Holmes Bobst Library,"70 Washington Square S, New York, NY 10012, USA",5
1,01:08,NYU Center for Student Life,"60 Washington Square S 7th Floor, New York, NY 10012, USA",4
1,01:12,Student Resource Center,"NYU Kimmel Center for University Life, 60 Washington Square S #210, New York, NY 10012, USA",4
1,01:13,Kimmel Center for University Life,"60 Washington Square S, New York, NY 10012, USA",1
1,01:19,The Uncommons,"230 Thompson St, New York, NY 10012, USA",4
1,01:24,NYU Global Center for Academic and Spiritual Life,"238 Thompson St, New York, NY 10012, USA",4
1,01:34,Carmela Coffee - West Village,"10 5th Ave, New York, NY 10011, USA",5
1,01:39,Rubin Hall,"35 5th Ave, New York, NY 10003, USA",3
1,01:43,maman,"67 University Pl, New York, NY 10003, USA",1
1,01:51,Blue Stripes Wine Bar & Cafe,"28 E 13th St, New York, NY 10011, USA",4
1,02:02,Counter Service,"315b Park Ave S, New York, NY 10010, USA",3
1,02:07,CookUnity,"36 Lexington Ave, New York, NY 10010, USA",3
1,02:08,Newman Vertical Campus,"55 Lexington Ave, New York, NY 10010, USA",1
1,02:14,Greenhill coffee,"421 2nd Ave, New York, NY 10010, USA",1
1,02:22,Diner 24 NYC,"283 3rd Ave, New York, NY 10010, USA",3
1,02:32,Newman Library - Baruch College,"151 E 25th St, New York, NY 10010, USA",5
1,02:37,787 Coffee,"100 Lexington Ave, New York, NY 10016, USA",1
1,02:41,Murray Cafe,"165 Lexington Ave CU2, New York, NY 10016, USA",1
1,02:46,ARVACI coffee,"152 E 33rd St, New York, NY 10016, USA",1
1,02:51,Charlotte Cafe,"605 2nd Ave, New York, NY 10016, USA",1
1,02:59,Kimmel Coffee Bar,"424 E 34th St, New York, NY 10016, USA",1
1,03:17,CUNY Office of Graduate Studies,"8th floor, 217 E 42nd St, New York, NY 10017, USA",3
1,03:34,CUNY Graduate Center,"365 5th Ave, New York, NY 10016, USA",3
1,03:41,Woorijip,"12 W 32nd St, New York, NY 10001, USA",3
1,03:48,DEPOT,"Penn Station, New York, NY",0
2,00:00,DEPOT,"Penn Station, New York, NY",0
2,01:12,Brookdale Dorms CUNY,"104-28 201st St, St. Albans, NY 11412, USA",3
2,02:18,Assembly Hall (Hunter College),"New York, NY 10065, USA",3
2,02:28,787 Coffee,"340 E 70th St, New York, NY 10021, USA",1
2,02:43,FOUND Study Upper East Side,"334 E 79th St, New York, NY 10075, USA",3
2,02:56,Malta Coffee,"1045 Lexington Ave, New York, NY 10021, USA",1
2,03:02,Caffe Aronne,"976A Lexington Ave, New York, NY 10021, USA",1
2,03:05,Bel Ami Cafe,"960 Lexington Ave, New York, NY 10021, USA",1
2,03:11,Hunter College Library,"115 E 68th St, New York, NY 10065, USA",3
2,03:14,Hunter College Leon & Toby Cooperman Library,"695 Park Ave, New York, NY 10065, USA",3
2,03:19,Hunter East Building,"921 Lexington Ave, New York, NY 10065, USA",3
2,03:24,Thomas Hunter Hall,"932 Lexington Ave, New York, NY 10065, USA",3
2,03:41,CUNY Graduate Center Apartments,"165 E 118th St, New York, NY 10035, USA",3
2,03:58,Hunter College's 79th Street Residence,"1760 3rd Ave, New York, NY 10029, USA",3
2,04:19,FOUND Study Turtle Bay,"525 Lexington Ave, New York, NY 10017, USA",3
2,04:25,Found Study Midtown East,"569 Lexington Ave, New York, NY 10022, USA",3
2,04:46,Lafayette Hall,"87 White St, New York, NY 10013, USA",3
2,05:00,Bibliotheque,"54 Mercer St, New York, NY 10013, USA",5
2,05:11,787 Coffee,"72 Thompson St, New York, NY 10012, USA",5
2,05:17,"Drip Drop Café, coffee shop","98 Thompson St, New York, NY 10012, USA",4
2,05:30,Lipton Hall,"33 Washington Square W, New York, NY 10011, USA",3
2,05:33,La Lanterna di Vittorio,"129 MacDougal St, New York, NY 10012, USA",1
2,05:34,Caffe Reggio,"119 MacDougal St, New York, NY 10012, USA",1
2,05:36,Olive Tree Cafe,"117 MacDougal St, New York, NY 10012, USA",1
2,05:38,Bora Bora Smoothie Cafe - Greenwich Village,"95 MacDougal St, New York, NY 10012, USA",1
2,05:50,Hudson Park Library,"66 Leroy St, New York, NY 10014, USA",5
2,05:58,Greenwich Hall,"636 Greenwich St, New York, NY 10014, USA",3
2,06:11,Jefferson Market Library,"425 6th Ave, New York, NY 10011, USA",5
2,06:17,ad hoc : cafe,"13 Christopher St, New York, NY 10014, USA",4
2,06:28,DEPOT,"Penn Station, New York, NY",0
